p = 2, irred = false, level = 1
e = 1, ideal(y,x)

p = 3, irred = false, level = 1
e = 1, ideal(x^2-x*y+y^2)

p = 5, irred = false, level = 1
e = 1, ideal(y,x)

p = 7, irred = false, level = 1
e = 1, ideal(y,x)

p = 11, irred = false, level = 1
e = 1, ideal(y,x)

p = 13, irred = false, level = 1
e = 1, ideal(y,x)

p = 17, irred = false, level = 1
e = 1, ideal(y,x)

p = 19, irred = false, level = 1
e = 1, ideal(y,x)

p = 23, irred = false, level = 1
e = 1, ideal(y,x)

p = 29, irred = false, level = 1
e = 1, ideal(y,x)

p = 31, irred = false, level = 1
e = 1, ideal(y,x)

p = 37, irred = false, level = 1
e = 1, ideal(y,x)

p = 41, irred = false, level = 1
e = 1, ideal(y,x)

p = 43, irred = false, level = 1
e = 1, ideal(y,x)

p = 47, irred = false, level = 1
e = 1, ideal(y,x)

p = 53, irred = false, level = 1
e = 1, ideal(y,x)

p = 59, irred = false, level = 1
e = 1, ideal(y,x)

p = 61, irred = false, level = 1
e = 1, ideal(y,x)

p = 67, irred = false, level = 1
e = 1, ideal(y,x)

p = 71, irred = false, level = 1
e = 1, ideal(y,x)

p = 73, irred = false, level = 1
e = 1, ideal(y,x)

p = 79, irred = false, level = 1
e = 1, ideal(y,x)

p = 83, irred = false, level = 1
e = 1, ideal(y,x)

p = 89, irred = false, level = 1
e = 1, ideal(y,x)

p = 97, irred = false, level = 1
e = 1, ideal(y,x)

