char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(x^2,x*y^2,y^5)"
3,3,True,"1, 2","ideal(x,y^3), ideal(x^2*y,x^3,x*y^3,y^6)"
5,5,True,"1, 2, 3, 4","ideal(y,x), ideal(x^2,y^3+x*y,x*y^2), ideal(x^3,x*y^3,x^2*y^2,y^5+x^2*y), ideal(x^4,x^3*y^2,x*y^5+x^2*y^3,x^2*y^4,y^7+x^3*y)"
7,7,True,"1, 2, 3, 4, 5, 6","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7)"
11,11,True,"3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
13,13,True,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
17,17,True,"4, 6, 8, 9, 11, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
19,19,True,"5, 7, 8, 9, 10, 11, 12, 14, 16, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
23,23,True,"6, 8, 10, 11, 13, 15, 17, 18, 20, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
29,-21,True,"8, 11, 13, 14, 16, 17, 19, 22, 25, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
31,-19,True,"9, 12, 15, 18, 21, 24, 27, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
37,-13,True,"10, 14, 18, 21, 25, 29, 32, 33, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
41,-9,True,"12, 16, 20, 24, 28, 32, 36, 40","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
43,-7,True,"12, 16, 20, 21, 25, 29, 33, 34, 38, 42","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
47,-3,True,"13, 18, 23, 27, 32, 37, 41, 42, 46","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
53,3,True,"15, 20, 25, 26, 31, 36, 41, 42, 47, 52","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
59,9,True,"17, 23, 28, 29, 34, 35, 40, 46, 52, 58","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
61,11,True,"18, 24, 30, 36, 42, 48, 54, 60","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
67,17,True,"19, 26, 33, 39, 46, 53, 59, 60, 66","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
71,21,True,"21, 28, 35, 42, 49, 56, 63, 70","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
73,23,True,"21, 28, 35, 36, 43, 50, 57, 58, 65, 72","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
79,-21,True,"23, 31, 38, 39, 46, 47, 54, 62, 70, 78","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
83,-17,True,"24, 32, 40, 41, 49, 57, 65, 66, 74, 82","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x,y^3), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^2*y,x^3,x*y^3,y^6), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
89,-11,True,"26, 35, 43, 44, 52, 53, 61, 70, 79, 88","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
97,-3,True,"28, 38, 48, 57, 67, 77, 86, 87, 96","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x^2*y^2,x*y^4,y^6), ideal(x^2*y^2,x^3*y,x^4,x*y^5,y^7), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
