p = 2, irred = true , level = 1
e = 1, ideal(y,x)

p = 3, irred = true , level = 1
e = 1, ideal(y,x)

p = 5, irred = true , level = 1
e = 1, ideal(y,x)

p = 7, irred = true , level = 1
e = 1, ideal(y,x)

p = 11, irred = true , level = 1
e = 1, ideal(y,x)

p = 13, irred = true , level = 1
e = 1, ideal(y,x)

p = 17, irred = true , level = 1
e = 1, ideal(y,x)

p = 19, irred = true , level = 1
e = 1, ideal(y,x)

p = 23, irred = true , level = 1
e = 1, ideal(y,x)

p = 29, irred = true , level = 1
e = 1, ideal(y,x)

p = 31, irred = true , level = 1
e = 1, ideal(y,x)

p = 37, irred = true , level = 1
e = 1, ideal(y,x)

p = 41, irred = true , level = 1
e = 1, ideal(y,x)

p = 43, irred = true , level = 1
e = 1, ideal(y,x)

p = 47, irred = true , level = 1
e = 1, ideal(y,x)

p = 53, irred = true , level = 1
e = 1, ideal(y,x)

p = 59, irred = true , level = 1
e = 1, ideal(y,x)

p = 61, irred = true , level = 1
e = 1, ideal(y,x)

p = 67, irred = true , level = 1
e = 1, ideal(y,x)

p = 71, irred = true , level = 1
e = 1, ideal(y,x)

p = 73, irred = true , level = 1
e = 1, ideal(y,x)

p = 79, irred = true , level = 1
e = 1, ideal(y,x)

p = 83, irred = true , level = 1
e = 1, ideal(y,x)

p = 89, irred = true , level = 1
e = 1, ideal(y,x)

p = 97, irred = true , level = 1
e = 1, ideal(y,x)

