p = 2, irred = true , level = 2
p = 3, irred = true , level = 3
p = 5, irred = true , level = 2
p = 7, irred = true , level = 1
p = 11, irred = true , level = 1
p = 13, irred = true , level = 2
p = 17, irred = true , level = 2
p = 19, irred = true , level = 1
p = 23, irred = true , level = 1
p = 29, irred = true , level = 1
p = 31, irred = true , level = 1
p = 37, irred = true , level = 1
p = 41, irred = true , level = 1
p = 43, irred = true , level = 1
p = 47, irred = true , level = 1
p = 53, irred = true , level = 1
p = 59, irred = true , level = 1
p = 61, irred = true , level = 1
p = 67, irred = true , level = 1
p = 71, irred = true , level = 1
p = 73, irred = true , level = 1
p = 79, irred = true , level = 1
p = 83, irred = true , level = 1
p = 89, irred = true , level = 1
p = 97, irred = true , level = 1
