p = 2, irred = false, level = 3
p = 3, irred = false, level = 2
p = 5, irred = false, level = 1
p = 7, irred = false, level = 2
p = 11, irred = false, level = 1
p = 13, irred = false, level = 1
p = 17, irred = false, level = 1
p = 19, irred = false, level = 1
p = 23, irred = false, level = 1
p = 29, irred = false, level = 1
p = 31, irred = false, level = 1
p = 37, irred = false, level = 1
p = 41, irred = false, level = 1
p = 43, irred = false, level = 1
p = 47, irred = false, level = 1
p = 53, irred = false, level = 1
p = 59, irred = false, level = 1
p = 61, irred = false, level = 1
p = 67, irred = false, level = 1
p = 71, irred = false, level = 1
p = 73, irred = false, level = 1
p = 79, irred = false, level = 1
p = 83, irred = false, level = 1
p = 89, irred = false, level = 1
p = 97, irred = false, level = 1
