p = 2, irred = false, nu-inv = {1}
p = 3, irred = true , nu-inv = {2}
p = 5, irred = false, nu-inv = {4}
p = 7, irred = true , nu-inv = {6}
p = 11, irred = true , nu-inv = {10}
p = 13, irred = false, nu-inv = {12}
p = 17, irred = false, nu-inv = {16}
p = 19, irred = true , nu-inv = {18}
p = 23, irred = true , nu-inv = {22}
p = 29, irred = false, nu-inv = {28}
p = 31, irred = true , nu-inv = {30}
p = 37, irred = false, nu-inv = {36}
p = 41, irred = false, nu-inv = {40}
p = 43, irred = true , nu-inv = {42}
p = 47, irred = true , nu-inv = {46}
p = 53, irred = false, nu-inv = {52}
p = 59, irred = true , nu-inv = {58}
p = 61, irred = false, nu-inv = {60}
p = 67, irred = true , nu-inv = {66}
p = 71, irred = true , nu-inv = {70}
p = 73, irred = false, nu-inv = {72}
p = 79, irred = true , nu-inv = {78}
p = 83, irred = true , nu-inv = {82}
p = 89, irred = false, nu-inv = {88}
p = 97, irred = false, nu-inv = {96}
