p = 2, irred = true , nu-inv = {1}
p = 3, irred = true , nu-inv = {1, 2}
p = 5, irred = true , nu-inv = {3, 4}
p = 7, irred = true , nu-inv = {5, 6}
p = 11, irred = true , nu-inv = {8, 10}
p = 13, irred = true , nu-inv = {10, 12}
p = 17, irred = true , nu-inv = {13, 16}
p = 19, irred = true , nu-inv = {15, 18}
p = 23, irred = true , nu-inv = {18, 22}
p = 29, irred = true , nu-inv = {23, 28}
p = 31, irred = true , nu-inv = {25, 30}
p = 37, irred = true , nu-inv = {30, 36}
p = 41, irred = true , nu-inv = {33, 40}
p = 43, irred = true , nu-inv = {35, 42}
p = 47, irred = true , nu-inv = {38, 46}
p = 53, irred = true , nu-inv = {43, 52}
p = 59, irred = true , nu-inv = {48, 58}
p = 61, irred = true , nu-inv = {50, 60}
p = 67, irred = true , nu-inv = {55, 66}
p = 71, irred = true , nu-inv = {58, 70}
p = 73, irred = true , nu-inv = {60, 72}
p = 79, irred = true , nu-inv = {65, 78}
p = 83, irred = true , nu-inv = {68, 82}
p = 89, irred = true , nu-inv = {73, 88}
p = 97, irred = true , nu-inv = {80, 96}
