r,f_count,interaction_count,h_count
0,1,0,0
1,2,0,10
2,3,0,40
3,4,0,105
4,5,0,226
5,6,0,431
6,7,0,756
7,8,0,1246
8,9,0,1956
9,10,0,2952
10,11,0,4312
11,12,0,6127
12,13,0,8502
13,14,0,11557
14,15,0,15428
15,16,0,20268
16,17,0,26248
17,18,0,33558
18,19,4,42408
19,20,15,53029
20,21,46,65674
21,22,102,80619
22,23,197,98164
23,24,334,118634
24,25,506,142380
25,26,721,169780
26,27,985,201240
27,28,1302,237195
28,29,1687,278110
29,30,2145,324481
30,31,2679,376833
31,31,3045,435672
32,31,3478,501433
33,31,3969,574468
34,31,4534,654919
35,31,5170,742795
36,31,5879,837737
37,31,6660,939227
38,31,7525,1046196
39,31,8478,1157416
40,31,9516,1270900
41,31,10662,1384525
42,31,11909,1495223
43,30,12791,1600567
44,29,13691,1698319
45,28,14577,1787269
46,27,15466,1866208
47,26,16343,1934729
48,25,17229,1992211
49,24,18144,2038640
50,23,19084,2073542
51,22,20064,2096886
52,21,21069,2107906
53,20,22109,2106142
54,19,23198,2090106
55,18,24296,2058585
56,17,25399,2009153
57,16,26464,1939753
58,15,27451,1846923
59,14,28330,1727701
60,13,29035,1577949
61,12,29511,1396211
62,11,29658,1183640
63,10,29424,948371
64,9,28771,705341
65,8,27662,476224
66,7,26089,282582
67,6,24010,140677
68,5,21404,54784
69,4,18289,14795
70,3,14582,2198
